mode,target_voltage_v,target_load_current_a,actual_voltage_v,actual_current_a,sweep_leg
avs-continuous,21.0,0.5,21.093,0.5,outbound
avs-continuous,24.0,0.5,24.071,0.5,outbound
avs-continuous,27.0,0.5,27.057,0.5,outbound
avs-continuous,30.0,0.5,30.081,0.5,outbound
avs-continuous,33.0,0.5,33.112,0.5,outbound
avs-continuous,36.0,0.5,36.167,0.5,outbound
avs-continuous,39.0,0.5,39.121,0.5,outbound
avs-continuous,42.0,0.5,42.092,0.5,outbound
avs-continuous,45.0,0.5,44.997,0.5,outbound
avs-continuous,48.0,0.5,47.897,0.5,outbound
avs-continuous,45.0,0.5,44.992,0.5,return
avs-continuous,42.0,0.5,42.094,0.5,return
avs-continuous,39.0,0.5,39.114,0.5,return
avs-continuous,36.0,0.5,36.159,0.5,return
avs-continuous,33.0,0.5,33.105,0.5,return
avs-continuous,30.0,0.5,30.074,0.5,return
avs-continuous,27.0,0.5,27.052,0.5,return
avs-continuous,24.0,0.5,24.064,0.5,return
avs-continuous,21.0,0.5,21.083,0.5,return
