Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
1,VBUS_UP,SOP,C_RSVD0,0,UFP,SNK,0,v1,0,,4044,0x0,6300264,6300264
2,OK,SOP,SOURCE_CAPABILITIES,0,DFP,SRC,5,v3,1189,109641,5087,0x51A1 0x881912C 0x2D12C 0x4B12C 0x641CC 0xE004B1CC,6409905,6411094
3,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,5063,0x81,6411176,6411686
4,OK,SOP,REQUEST,0,UFP,SNK,1,v3,646,5364,5087,0x1082 0x1044B12C,6417050,6417696
5,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,94,5052,0x1A1,6417790,6418302
6,OK,SOP,ACCEPT,1,DFP,SRC,0,v3,513,3028,5099,0x3A3,6421330,6421843
7,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,81,5087,0x281,6421924,6422434
8,OK,SOP,PS_RDY,2,DFP,SRC,0,v3,512,309855,5087,0x5A6,6732289,6732801
9,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,82,5063,0x481,6732883,6733393
10,OK,SOP,EPR_MODE,1,UFP,SNK,1,v3,645,6472,5087,0x128A 0x1000000,6739865,6740510
11,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,96,5052,0x3A1,6740606,6741118
12,OK,SOP,EPR_MODE,3,DFP,SRC,1,v3,647,3071,5099,0x17AA 0x2000000,6744189,6744836
13,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,5075,0x681,6744918,6745428
14,OK,SOP,EPR_MODE,4,DFP,SRC,1,v3,647,4304,5087,0x19AA 0x3000000,6749732,6750379
15,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,82,5052,0x881,6750461,6750971
16,OK,SOP,EPR_SOURCE_CAPABILITIES,5,DFP,SRC,7,v3,1460,5107,5087,0xFBB1 0x802C 0x2C 0x91 0x81 0x08 0x2C 0xD1 0x02 0x00 0x2C 0xB1 0x04 0x00 0xF4 0x41 0x06 0x00 0xF4 0xB1 0x04 0xE0 0x00 0x00 0x00 0x00 0x00 0x00,6756078,6757538
17,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,511,81,5052,0xA81,6757619,6758130
18,OK,SOP,EPR_SOURCE_CAPABILITIES,2,UFP,SNK,1,v3,645,4653,5099,0x9491 0x8C00 0x00 0x00,6762783,6763428
19,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,513,96,5075,0x5A1,6763524,6764037
20,OK,SOP,EPR_SOURCE_CAPABILITIES,6,DFP,SRC,5,v3,1190,3615,5075,0xDDB1 0x882C 0x00 0x00 0xF4 0xC1 0x08 0x00 0xF4 0x41 0x0B 0x00 0xF4 0x01 0x0F 0x00 0xF0 0x96 0xC0 0xD3,6767652,6768842
21,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,81,5040,0xC81,6768923,6769433
22,OK,SOP,EPR_REQUEST,3,UFP,SNK,2,v3,781,6339,5087,0x2689 0x1044B12C 0x881912C,6775772,6776553
23,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,93,5052,0x7A1,6776646,6777158
24,OK,SOP,ACCEPT,7,DFP,SRC,0,v3,512,3288,5099,0xFA3,6780446,6780958
25,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,81,5075,0xE81,6781039,6781549
26,OK,SOP,PS_RDY,0,DFP,SRC,0,v3,512,732010,5075,0x1A6,7513559,7514071
27,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,81,5063,0x81,7514152,7514662
28,OK,SOP,EPR_MODE,4,UFP,SNK,1,v3,645,28262,5087,0x188A 0x5000000,7542924,7543569
29,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,103,5052,0x9A1,7543672,7544184
30,OK,SOP,SOURCE_CAPABILITIES,1,DFP,SRC,5,v3,1189,170694,5087,0x53A1 0x881912C 0x2D12C 0x4B12C 0x641CC 0xE004B1CC,7714878,7716067
31,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,82,5052,0x281,7716149,7716659
32,OK,SOP,REQUEST,5,UFP,SNK,1,v3,645,4629,5087,0x1A82 0x1044B12C,7721288,7721933
33,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,96,5063,0xBA1,7722029,7722541
34,OK,SOP,ACCEPT,2,DFP,SRC,0,v3,512,3202,5087,0x5A3,7725743,7726255
35,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,81,5063,0x481,7726336,7726846
36,OK,SOP,PS_RDY,3,DFP,SRC,0,v3,512,310699,5099,0x7A6,8037545,8038057
37,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,511,81,5075,0x681,8038138,8038649
38,OK,SOP,EPR_MODE,6,UFP,SNK,1,v3,645,1227004,5087,0x1C8A 0x1000000,9265653,9266298
39,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,513,94,5075,0xDA1,9266392,9266905
40,OK,SOP,EPR_MODE,4,DFP,SRC,1,v3,648,2873,5087,0x19AA 0x2000000,9269778,9270426
41,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,5063,0x881,9270507,9271017
42,OK,SOP,EPR_MODE,5,DFP,SRC,1,v3,647,4352,5099,0x1BAA 0x3000000,9275369,9276016
43,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,5063,0xA81,9276098,9276608
44,OK,SOP,EPR_SOURCE_CAPABILITIES,6,DFP,SRC,7,v3,1460,5171,5087,0xFDB1 0x802C 0x2C 0x91 0x81 0x08 0x2C 0xD1 0x02 0x00 0x2C 0xB1 0x04 0x00 0xF4 0x41 0x06 0x00 0xF4 0xB1 0x04 0xE0 0x00 0x00 0x00 0x00 0x00 0x00,9281779,9283239
45,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,81,5063,0xC81,9283320,9283830
