mode,target_voltage_v,target_load_current_a,actual_voltage_v,actual_current_a,sweep_leg
avs-continuous,21.0,5.0,21.022,5.0,outbound
avs-continuous,24.0,5.0,24.015,5.0,outbound
avs-continuous,27.0,5.0,27.001,5.0,outbound
avs-continuous,30.0,5.0,30.031,5.0,outbound
avs-continuous,33.0,5.0,33.029,5.0,outbound
avs-continuous,36.0,5.0,36.082,5.0,outbound
avs-continuous,39.0,5.0,39.047,5.0,outbound
avs-continuous,42.0,5.0,42.0,5.0,outbound
avs-continuous,45.0,5.0,44.929,5.0,outbound
avs-continuous,48.0,5.0,47.781,5.0,outbound
avs-continuous,45.0,5.0,44.915,5.0,return
avs-continuous,42.0,5.0,42.019,5.0,return
avs-continuous,39.0,5.0,39.056,4.999,return
avs-continuous,36.0,5.0,36.099,5.0,return
avs-continuous,33.0,5.0,33.047,5.0,return
avs-continuous,30.0,5.0,30.028,5.0,return
avs-continuous,27.0,5.0,27.003,5.0,return
avs-continuous,24.0,5.0,24.024,5.0,return
avs-continuous,21.0,5.0,21.034,5.0,return
