Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
1,VBUS_UP,SOP,C_RSVD0,0,UFP,SNK,0,v1,0,,4055,0x0,6328970,6328970
2,OK,SOP,SOURCE_CAPABILITIES,0,DFP,SRC,5,v3,1189,109597,5087,0x51A1 0x881912C 0x2D12C 0x4B12C 0x641CC 0xE004B1CC,6438567,6439756
3,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,5052,0x81,6439838,6440348
4,OK,SOP,REQUEST,0,UFP,SNK,1,v3,645,4750,5099,0x1082 0x1044B12C,6445098,6445743
5,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,94,5075,0x1A1,6445837,6446349
6,OK,SOP,ACCEPT,1,DFP,SRC,0,v3,512,2993,5087,0x3A3,6449342,6449854
7,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,511,81,5063,0x281,6449935,6450446
8,OK,SOP,PS_RDY,2,DFP,SRC,0,v3,512,310350,5075,0x5A6,6760796,6761308
9,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,81,5075,0x481,6761389,6761899
10,OK,SOP,EPR_MODE,1,UFP,SNK,1,v3,646,6046,5075,0x128A 0x1000000,6767945,6768591
11,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,104,5052,0x3A1,6768695,6769207
12,OK,SOP,EPR_MODE,3,DFP,SRC,1,v3,647,3079,5099,0x17AA 0x2000000,6772286,6772933
13,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,5087,0x681,6773015,6773525
14,OK,SOP,EPR_MODE,4,DFP,SRC,1,v3,647,4376,5075,0x19AA 0x3000000,6777901,6778548
15,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,82,5052,0x881,6778630,6779140
16,OK,SOP,EPR_SOURCE_CAPABILITIES,5,DFP,SRC,7,v3,1459,5441,5075,0xFBB1 0x802C 0x2C 0x91 0x81 0x08 0x2C 0xD1 0x02 0x00 0x2C 0xB1 0x04 0x00 0xF4 0x41 0x06 0x00 0xF4 0xB1 0x04 0xE0 0x00 0x00 0x00 0x00 0x00 0x00,6784581,6786040
17,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,5028,0xA81,6786122,6786632
18,OK,SOP,EPR_SOURCE_CAPABILITIES,2,UFP,SNK,1,v3,645,5228,5087,0x9491 0x8C00 0x00 0x00,6791860,6792505
19,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,511,97,5063,0x5A1,6792602,6793113
20,OK,SOP,EPR_SOURCE_CAPABILITIES,6,DFP,SRC,5,v3,1189,3769,5099,0xDDB1 0x882C 0x00 0x00 0xF4 0xC1 0x08 0x00 0xF4 0x41 0x0B 0x00 0xF4 0x01 0x0F 0x00 0xF0 0x96 0xC0 0xD3,6796882,6798071
21,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,82,5063,0xC81,6798153,6798663
22,OK,SOP,EPR_REQUEST,3,UFP,SNK,2,v3,781,6203,5087,0x2689 0x1044B12C 0x881912C,6804866,6805647
23,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,513,96,5075,0x7A1,6805743,6806256
24,OK,SOP,ACCEPT,7,DFP,SRC,0,v3,508,3004,5087,0xFA3,6809260,6809768
25,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,81,5063,0xE81,6809849,6810359
26,OK,SOP,PS_RDY,0,DFP,SRC,0,v3,513,731183,5075,0x1A6,7541542,7542055
27,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,81,5052,0x81,7542136,7542646
28,OK,SOP,EPR_MODE,4,UFP,SNK,1,v3,646,28425,5087,0x188A 0x5000000,7571071,7571717
29,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,94,5052,0x9A1,7571811,7572323
30,OK,SOP,SOURCE_CAPABILITIES,1,DFP,SRC,5,v3,1188,171132,5087,0x53A1 0x881912C 0x2D12C 0x4B12C 0x641CC 0xE004B1CC,7743455,7744643
31,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,82,5052,0x281,7744725,7745235
32,OK,SOP,REQUEST,5,UFP,SNK,1,v3,645,5205,5099,0x1A82 0x1044B12C,7750440,7751085
33,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,511,95,5063,0xBA1,7751180,7751691
34,OK,SOP,ACCEPT,2,DFP,SRC,0,v3,512,2960,5087,0x5A3,7754651,7755163
35,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,82,5063,0x481,7755245,7755755
36,OK,SOP,PS_RDY,3,DFP,SRC,0,v3,512,311095,5087,0x7A6,8066850,8067362
37,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,81,5063,0x681,8067443,8067953
38,OK,SOP,EPR_MODE,6,UFP,SNK,1,v3,645,1228009,5099,0x1C8A 0x1000000,9295962,9296607
39,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,512,96,5063,0xDA1,9296703,9297215
40,OK,SOP,EPR_MODE,4,DFP,SRC,1,v3,648,3000,5087,0x19AA 0x2000000,9300215,9300863
41,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,5063,0x881,9300944,9301454
42,OK,SOP,EPR_MODE,5,DFP,SRC,1,v3,647,4315,5087,0x1BAA 0x3000000,9305769,9306416
43,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,5052,0xA81,9306498,9307008
44,OK,SOP,EPR_SOURCE_CAPABILITIES,6,DFP,SRC,7,v3,1459,5077,5087,0xFDB1 0x802C 0x2C 0x91 0x81 0x08 0x2C 0xD1 0x02 0x00 0x2C 0xB1 0x04 0x00 0xF4 0x41 0x06 0x00 0xF4 0xB1 0x04 0xE0 0x00 0x00 0x00 0x00 0x00 0x00,9312085,9313544
45,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,511,81,5052,0xC81,9313625,9314136
46,OK,SOP,EPR_SOURCE_CAPABILITIES,7,UFP,SNK,1,v3,646,4738,5087,0x9E91 0x8C00 0x00 0x00,9318874,9319520
47,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,512,98,5063,0xFA1,9319618,9320130
48,OK,SOP,EPR_SOURCE_CAPABILITIES,7,DFP,SRC,5,v3,1189,3928,5087,0xDFB1 0x882C 0x00 0x00 0xF4 0xC1 0x08 0x00 0xF4 0x41 0x0B 0x00 0xF4 0x01 0x0F 0x00 0xF0 0x96 0xC0 0xD3,9324058,9325247
49,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,81,5052,0xE81,9325328,9325838
50,OK,SOP,EPR_REQUEST,0,UFP,SNK,2,v3,780,6028,5087,0x2089 0xB0469064 0xD3C096F0,9331866,9332646
51,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,511,94,5063,0x1A1,9332740,9333251
52,OK,SOP,ACCEPT,0,DFP,SRC,0,v3,512,2862,5075,0x1A3,9336113,9336625
53,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,5063,0x81,9336707,9337217
54,OK,SOP,PS_RDY,1,DFP,SRC,0,v3,511,308724,20291,0x3A6,9645941,9646452
55,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,82,20279,0x281,9646534,9647044
56,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,646,404309,20777,0x9290 0x8002 0x03 0x00,10051353,10051999
57,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,511,98,20765,0x3A1,10052097,10052608
58,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,647,1743,20789,0x95B0 0x8002 0x04 0x00,10054351,10054998
59,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,511,81,20753,0x481,10055079,10055590
60,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,645,454227,20789,0x9490 0x8002 0x03 0x00,10509817,10510462
61,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,511,111,20765,0x5A1,10510573,10511084
62,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,647,1658,20777,0x97B0 0x8002 0x04 0x00,10512742,10513389
63,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,20753,0x681,10513471,10513981
64,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,454258,20801,0x9690 0x8002 0x03 0x00,10968239,10968884
65,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,96,20777,0x7A1,10968980,10969492
66,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,648,1644,20789,0x99B0 0x8002 0x04 0x00,10971136,10971784
67,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,20765,0x881,10971865,10972375
68,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454271,20801,0x9890 0x8002 0x03 0x00,11426646,11427291
69,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,99,20753,0x9A1,11427390,11427902
